episode no.,Episode_title,description,Episode_runtime,Released_on,Lead Cast Matches,Supporting Cast Matches,place_matches_cleaned,channel_title,publish_date,view_count,like_count,comment_count
1673,Bride's Evil Plan,The family of the bride cons Popatlal into agreeing to marry their daughter the same day but Popatlal is unaware of the real reason behind this rush. Watch the episode to know more.,18 mins,01-Jun-20,Popatlal,,,Sony PAL,2018-12-17T17:10:30Z,2450716,28705,736
1674,Popatlal's Bride To Be,"Champak Chacha along with Popat, Daya, and others visit Bishwajeet's place. Seeing Popatlal's manners, Bishwajeet gets very impressed. Bishwajeet asks Popatlal and his daughter to spend some private time to fix their marriage.",19 mins,01-Jun-20,"Popat, Popatlal",,,Sony SAB,2015-05-19T20:00:56Z,6059479,37604,692
1675,Popatlal's Match-Fixing,Bishwajeet finalizes Popatlal's marriage and asks Champak to eat a few sweets. Bishwajeet further tells Daya that they need to consult an astrologer to decide an auspicious date for Popatlal's marriage.,20 mins,01-Jun-20,"Popat, Popatlal",,,Sony SAB,2015-05-20T19:07:54Z,5597043,37482,905
1676,Popatlal's Marriage Gets Fixed,Popatlal receives a call from the girl's family saying they have finalized him and will be marrying the next day itself. Everyone in Gokuldham society cheers Popatlal.,19 mins,01-Jun-20,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2015-05-21T17:41:55Z,6359291,41071,834
1677,Sapna Gets Annoyed,Sonu asks Sapna all sorts of questions and this annoys her. Taarak further asks Biswajeet about his business. Watch the full episode to know more.,18 mins,03-Jun-20,Taarak,,,Sony SAB,2015-05-22T17:49:16Z,6472422,41703,741
1678,Popatlal's New Car,"Popatlal gets a brand new car as a wedding gift. Everyone from Gokuldham gets Happy to see Popatlal Happy. Later, Popatlal rejects the car.",20 mins,03-Jun-20,"Popat, Popatlal",,Gokuldham Society,Sony SAB,2015-05-23T20:10:27Z,8785251,60248,1563
1679,Fraud Fiance,"Everyone is curiously watching towards Poppatlal and his fiance to find out that if she is faking. Later, Minty meets her brother and tells him that their well-crafted plan is working out well.",41 mins,03-Jun-20,Gokuldham Members,,,Sony PAL,2018-12-20T20:19:03Z,4897010,48742,983
1680,Fake Minty,"The men of the Gokuldham society are chatting among themselves. When Poppatlal and his fiance show up, the men curiously watch towards them. Later, they all find out that Poppatlal's fiance is a fraud and her real name is Minty.",21 mins,03-Jun-20,"Jethalal, Bhide, Taraak, Sodhi, Iyer, Popatlal, Dr.Hathi, Minty",,Gokuldham Society,Sony SAB,2015-05-26T19:01:30Z,8611965,45818,1073
1681,Popatlal's Mortgage,"Popatlal and Minty go to the bank to get the money. Later, Bhide finds out Popatlal has kept his house on sale to give money to Minty's family. Watch the full episode to find out more.",18 mins,03-Jun-20,"Popat, Popatlal",,,Sony PAL,2018-12-21T19:00:13Z,13206533,130389,3185
1682,Popatlal's Trouble,Troubles don't seem to be going away from Popatlal. He is convinced that to help Minty and her father he should mortgage his flat. The entire Gokuldham society comes to know about this.,20 mins,03-Jun-20,"Popat, Popatlal",,Gokuldham Society,Sony PAL,2018-12-22T16:32:51Z,9676427,110898,2332
1683,Police Arrest The Culprits,"Popatlal is devastated and heads for the railway station. Suddenly, the police come to the society and everyone is surprised to see that they have arrested the gang. Minty is the one who has informed the police and she reveals all the truths one by one.",21 mins,01-Jun-20,Popatlal,,Gokuldham Society,Sony SAB,2015-05-29T17:08:19Z,9031555,48661,928
1684,Jethalal's Homecoming,"Jethalal calls Daya and informs her that he is coming back after a few days, but he is planning to give her a surprise. He returns to Mumbai the same night but unfortunately, when coming from the Airport to his home, he meets with a lot of troubles.",19 mins,01-Jun-20,"Jethalal, Jetha",,,Sony PAL,2021-02-02T04:30:01Z,7547185,86493,1044
1685,Is Jetha The Real Thief?,"Few people bring in a thief in the Gokuldham society and claim that he has stolen things from their society and has headed over to Gokuldham to do the same. Meanwhile, Daya recognizes the thief, it's Jetha!",20 mins,30-Jun-20,Jetha,,Gokuldham Society,Sony PAL,2021-02-02T05:00:05Z,3761524,47964,757
1686,Exam Results,"Tapu Sena is very curious about their Exam results. Worried about their future, Tapu Sena discusses with the society members.  Watch the Full Episode.",20 mins,01-Jun-20,Tapu,,Gokuldham Society,Sony SAB,2015-06-03T17:33:35Z,4298025,31640,578
1687,Bhide Gets Worried,Jethalal is worried about Tapu's exam results. Bhide gets a call from the parents about the same. Bhide himself is worried about the results.,19 mins,01-Jun-20,Bhide,,,Sony SAB,2015-06-04T17:29:00Z,4260919,40166,952
1688,Urgent Meeting,There is an urgent meeting called to motivate and inspire Tapu Sena. Everyone gives their valuable suggestions. Watch the episode to know more.,19 mins,01-Jun-20,Tapu,,,Sony SAB,2015-06-05T17:21:46Z,3544047,34252,875
1689,Tapu Sena's Future Plan,Everyone gives their valuable suggestions and asks Tapu Sena regarding their plans. Tapu Sena tells their ambition and everyone cheers them to go ahead.,17 mins,01-Jun-20,"Tapu, Tapu Sena",,,Sony SAB,2015-06-08T21:25:54Z,3306330,28871,689
1690,Reporter At Gokuldham,A television reporter comes to Gokuldham to know about the kid's reactions to exam results. The results will be announced the next day.,20 mins,01-Jun-20,Gokuldham Members,,Gokuldham Society,Sony SAB,2015-06-09T23:17:07Z,2937432,25929,985
1691,Jethalal's Word To Daya,Daya makes Jethalal wear a sweater on a bright sunny day. Jethalal is angry but remembers he had given his word to Daya and he has no option but to follow it now.,19 mins,01-Jun-20,"Jethalal, Jetha, Daya",,,Sony SAB,2015-06-10T21:45:24Z,3275014,27805,436
1692,Jethalal's Weird Behavior,Daya's convinces Jethalal to wear a sweater and go to the shop. Bagha and Nattu kaka get curious about Jethalal's weird behavior.,20 mins,01-Jun-20,"Jethalal, Jetha",,,Sony SAB,2015-06-11T23:06:58Z,2930098,26454,589
1693,Sweater Day,"Jethalal sits in his shop wearing a sweater and is sitting in between all the fans. Later, Jethalal bursts at everyone at home.",20 mins,01-Jun-20,Jethalal,,,Sony SAB,2015-06-12T22:24:52Z,3341635,29443,572
1694,Tension About The Results,"Bapuji tells Jethalal not to have dinner if he is not feeling well, but Jethalal somehow manages the situation. On the other hand, Bhide and Hathi Bhai are tensed about the results to be declared the next morning.",19 mins,01-Jun-20,"Jethalal, Bapuji, Bhide",,,Sony SAB,2015-06-15T23:59:07Z,3735636,36718,857
1695,Secret Of The Oath,"All the society members gather at Jethalal's house, adding to his misery, everybody gives their own opinion after hearing the problem Jethalal is suffering from Daya. Jethalal tries his level best to hide the secret of the oath.",18 mins,01-Jun-20,"Jethalal, Daya",,Gokuldham Society,Sony SAB,2015-06-16T22:28:48Z,3376886,32395,765
1696,Oath Continues,"The secret of the oath is out in the open and Daya calls her mother to discuss the next step. Daya disconnects the phone and tells Jethalal that the oath can continue, but from now on Jethalal should not use the fan.",19 mins,01-Jun-20,"Jethalal, Daya",,,Sony SAB,2015-06-17T22:55:05Z,3680093,36624,818
1697,Tapu's Bad Dream,"Tapu gets a bad dream and see's that he has got only 40% marks in the exam, and he wakes up scared. Tapu calls up Goli and tells him about his dream, but Goli tells him to relax as it is only a dream. Not satisfied with Goli's answer, Tapu calls up Sonu and tells her about his fear.",19 mins,01-Jun-20,Tapu,,,Sony SAB,2015-06-18T22:57:59Z,7699147,77945,1790
1698,Assembling At Bhide's House,"Everyone gathers at Bhide's house at 9:00 am to check the tenth class results. Roshan asks about Tapu Sena and Popatlal says that he had met Tapu Sena in the compound, as he was going to the temple.",21 mins,01-Jun-20,Bhide,,,Sony SAB,2015-06-19T21:04:34Z,5478474,64146,1458
1699,Result Day,"The parents of Tapu, Sonu, and Goli are very happy with the results of their children. Later, everyone appreciates the efforts made by Bhide in helping their children to study and pass with good marks. Jethalal's troubles start again when he has to pay the taxi charges for Sunder's taxi.",20 mins,01-Jun-20,"Jethalal, Tapu, Bhide, Goli",,,Sony SAB,2015-06-22T23:22:48Z,5170312,49429,1187
1700,Convincing Kunal,"Jethalal along with Sodhi and Champak Chacha returns to Gokuldham after convincing Kunal. Hearing all that has happened, everybody is very happy and Daya again starts the Garba.",20 mins,01-Jun-20,"Jethalal, Daya, Sodhi",,Gokuldham Society,Sony SAB,2015-06-23T21:28:42Z,3873704,35319,858
1701,Bhide Gets Shocked,"Tarak and Anjali are sitting and discussing the college admissions of Tapu, Goli, and Sonu. On the other hand, Sonu tries a different hairstyle, and seeing her Bhide is shocked.",19 mins,01-Jun-20,Bhide,,,Sony SAB,2015-06-24T20:58:28Z,3758551,37838,709
1702,Discussing The College Admissions,Jethalal and the others gather at Abdul's shop for some soda and to discuss the college admissions of their children. They all decide to go together the next morning to check the first list of college admissions for their children.,20 mins,01-Jun-20,"Jethalal, Abdul",,,Sony PAL,2021-02-11T04:30:02Z,2783243,38826,510
1703,Looking For Colleges,Everybody is worried about children's college admission. They decide to go and check various colleges for admission. Watch the Full Episode now to find out more.,20 mins,01-Jun-20,Gokuldham Members,,,Sony PAL,2021-02-11T05:00:04Z,3025975,49162,618
1704,Jethalal Worries,Jethalal finalizes a college for admission but later finds out that getting admission is hard in that college. Jethalal gets worried about the same. Watch the episode to find out what happens next.,19 mins,01-Jun-20,"Jethalal, Jetha",,,Sony SAB,2015-06-29T23:44:33Z,4573979,41153,934
1705,Bagha's Suggestion,"When Jethalal goes to the shop thinking about Tapu Sena's admission, Bagha gives the best option saying Bawri can help Tapu Sena get the admission done in the same college.",20 mins,01-Jun-20,Bagha,,,Sony SAB,2015-06-30T23:26:56Z,4568602,48180,684
1706,Say No To Influence,"Champaklal tells Jethalal that he is not ready to get Tapu admitted in the college, by using anybody's influence. Champaklal even calls up Goverdhan Bhai and tells him the same",20 mins,01-Jun-20,"Jethalal, Tapu, Bapuji",,,Sony SAB,2015-07-01T22:19:06Z,6071914,81284,1605
1707,Lots Of Trouble,"A very disappointed Jethalal comes out of the principal's cabin, but Tapu tries to console him. Later while going home, Jethalal tells everything to Daya and Champaklal.",19 mins,05-Jun-20,"Jethalal, Daya, Tapu, Bapuji",,,Sony SAB,2015-07-02T23:56:52Z,5686107,60215,794
1708,Seeking Setting Bhai's Help,"Jethalal with a boost of courage leaves to meet Taarak at the college to expose the notorious activities of Setting Bhai. Reaching the canteen where Setting Bhai is, Jethalal and Taarak approach him and offer to pay him any sum of money for the admission.",21 mins,05-Jun-20,"Jethalal, Taarak",,,Sony SAB,2015-07-04T00:50:47Z,6069828,60169,760
1709,The Transaction,Nattu Kaka and Bagha get the cash to Jethala's house and they both are extremely proud of Jethalal when they learn about the purpose of the cash.,19 mins,05-Jun-20,"Jethalal, Bagha, Nattu",,,Sony SAB,2015-07-06T20:54:20Z,5625125,52342,486
1710,Jethalal's Plan,"Jethalal and Tarak reach the office of the trustee, I.M.Khare with the amount that was asked for. Before entering the office, Jethalal switches on the spy camera in his pen. Watch the Episode to find out what happens next.",17 mins,05-Jun-20,"Jethalal, Jetha",,,Sony SAB,2015-07-07T21:02:24Z,5455001,55926,765
1711,Complaint Against I,Jethalal accompanied by Taarak walks into the police station. Pandey is shocked when he hears that a trustee of the city's number one college has asked for a donation of 7 Lacs.,19 mins,05-Jun-20,"Jethalal, Taarak",,,Sony SAB,2015-07-08T21:20:35Z,5131539,50786,811
1712,Police Lock-Up,"Inspector Pandey handcuffs both Jethalal and Taarak and puts them in the lock-up. On the other hand, Daya starts getting worried about Jethalal not having returned home.",19 mins,05-Jun-20,"Jethalal, Daya, Taarak",,,Sony SAB,2015-07-09T20:44:14Z,7235827,79666,1828
1713,Pandey Asks For Evidence,No amount of convincing helps in getting out Jethalal and Taarak from the police lock-up. Inspector Pandey informs that he knows that both are innocent but the law only believes in evidence.,20 mins,05-Jun-20,"Jethalal, Taarak",Pandey,,Sony PAL,2021-02-16T05:00:04Z,2446962,37745,596
1714,Helping Jethalal And Taarak,"People from Gokuldham try everything possible to get Taarak and Jethalal out from the police lock-up. When they are finally out, they try to find more routes to catch hold of Khare.",17 mins,05-Jun-20,"Jethalal, Jetha, Taarak",,Gokuldham Society,Sony PAL,2021-02-17T04:30:07Z,3679391,53488,1055
1715,The Non-Violence Rule,Gokuldham plans revenge on I.M Khare following the non-violence rule. Popatlal publishes good things about the college and the trustees.,20 mins,05-Jun-20,Popatlal,,Gokuldham Society,Sony SAB,2015-07-14T23:25:51Z,4215879,39015,662
1716,Khare's Social Message,Everyone in Gokuldham society is just talking about the interview which is published in newspapers. Popatlal has published the interview about I.M. Khare. Watch the Full Episode to find out more.,19 mins,01-Jun-20,Popatlal,"Khare's, Khare",Gokuldham Society,Sony SAB,2015-07-15T21:09:24Z,4735370,42139,679
1717,Khare's Situation,"The plan of Jethalal and others have started working, the recent coverage about I.M. Khare's personality in various news channels has started gaining popularity. Watch the Full Episode to find out more.",19 mins,01-Jun-20,Jethalal,"Khare's, Khare",,Sony SAB,2015-07-16T22:40:00Z,2024054,23046,662
1718,Transforming Khare's Personality,Women association has decided to felicitate I.M Khare for his contribution towards the society. This is again a part of Jethalal's plan to transform Khare's personality.,21 mins,01-Jun-20,Jethalal,"Khare's, Khare",Gokuldham Society,Sony SAB,2015-07-17T22:34:59Z,5787531,51152,865
1719,Khare Is Being Honoured,"The day of the function where Khare is being honored arrives and everyone gets ready for it. Later, Jethalal asks Sodhi to go along with Roshan Bhabi and get Khare to the function.",20 mins,01-Jun-20,"Jethalal, Sodhi",Khare,,Sony SAB,2015-07-20T21:55:12Z,7091852,64345,1013
